Players,Position,Team,Games,At Bats,Runs,Hits,Doubles,Triples,Home Runs,RBI,BB,SO,SB,CS,Average,OBP,SLG,Year
Matt Kemp,CF,LAD,162,602,82,150,25,6,28,89,53,170,19,15,.249,.310,.450,2010
Ichiro Suzuki,RF,SEA,162,680,74,214,30,3,6,43,45,86,42,9,.315,.359,.394,2010
Jose Bautista,RF,TOR,161,569,109,148,35,3,54,124,100,116,9,2,.260,.378,.617,2010
Prince Fielder,1B,MIL,161,578,94,151,25,0,32,83,114,138,1,0,.261,.401,.471,2010
Chone Figgins,2B,SEA,161,602,62,156,21,2,1,35,74,114,42,15,.259,.340,.306,2010
Chase Headley,3B,SD,161,610,77,161,29,3,11,58,56,139,17,5,.264,.327,.375,2010
James Loney,1B,LAD,161,588,67,157,41,2,10,88,52,95,10,5,.267,.329,.395,2010
Robinson Cano,2B,NYY,160,626,103,200,41,3,29,109,57,77,3,2,.319,.381,.534,2010
Adrian Gonzalez,1B,SD,160,591,87,176,33,0,31,101,93,114,0,0,.298,.393,.511,2010
Nick Markakis,RF,BAL,160,629,79,187,45,3,12,60,73,93,7,2,.297,.370,.436,2010
Juan Pierre,LF,CWS,160,651,96,179,18,3,1,47,45,47,68,18,.275,.341,.316,2010
Rickie Weeks Jr.,2B,MIL,160,651,112,175,32,4,29,83,76,184,11,4,.269,.366,.464,2010
Daric Barton,1B,OAK,159,556,79,152,33,5,10,57,110,102,7,3,.273,.393,.405,2010
Albert Pujols,1B,STL,159,587,115,183,39,1,42,118,103,76,14,4,.312,.414,.596,2010
Dan Uggla,2B,FLA,159,589,100,169,31,0,33,105,78,149,4,1,.287,.369,.508,2010
Billy Butler,DH,KC,158,595,77,189,45,0,15,78,69,78,0,0,.318,.388,.469,2010
Adam Dunn,1B,WSH,158,558,85,145,36,2,38,103,77,199,0,1,.260,.356,.536,2010
Matt Holliday,LF,STL,158,596,95,186,45,1,28,103,69,93,9,5,.312,.390,.532,2010
Garrett Jones,1B,PIT,158,592,64,146,34,1,21,86,53,123,7,3,.247,.306,.414,2010
Howie Kendrick,2B,LAA,158,616,67,172,41,4,10,75,28,94,14,4,.279,.313,.407,2010
Mark Teixeira,1B,NYY,158,601,113,154,36,0,33,108,93,122,0,1,.256,.365,.481,2010
Ryan Braun,LF,MIL,157,619,101,188,45,1,25,103,56,105,14,3,.304,.365,.501,2010
Michael Cuddyer,RF,MIN,157,609,93,165,37,5,14,81,58,93,7,3,.271,.336,.417,2010
Alex Gonzalez,SS,ATL,157,595,74,149,42,3,23,88,31,118,1,2,.250,.294,.447,2010
Aubrey Huff,1B,SF,157,569,100,165,35,5,26,86,83,91,7,0,.290,.385,.506,2010
Prince Fielder,1B,MIL,162,569,95,170,36,1,38,120,107,106,1,1,.299,.415,.566,2011
Miguel Cabrera,1B,DET,161,572,111,197,48,0,30,105,108,89,2,1,.344,.448,.586,2011
Matt Kemp,CF,LAD,161,602,115,195,33,4,39,126,74,159,40,11,.324,.399,.586,2011
Ichiro Suzuki,RF,SEA,161,677,80,184,22,3,5,47,39,69,40,7,.272,.310,.335,2011
Dan Uggla,2B,ATL,161,600,88,140,22,1,36,82,62,156,1,3,.233,.311,.453,2011
