Players,Team,Win,Lost,ERA,Games,GS,CG,SHO,Saves,SVO,IP,Hits,Runs,ER,HR,HB,BB,SO,WHIP,AVG,Year
Pedro Feliciano,NYM,3,6,3.30,92,0,0,0,0,1,62.2,66,24,23,1,6,30,56,1.53,.273,2010
Randy Choate,TB,4,3,4.23,85,0,0,0,0,2,44.2,41,23,21,3,3,17,40,1.30,.252,2010
Peter Moylan,ATL,6,2,2.97,85,0,0,0,1,4,63.2,53,24,21,5,2,37,52,1.41,.236,2010
Nick Masset,CIN,4,4,3.40,82,0,0,0,2,5,76.2,64,31,29,7,1,33,85,1.27,.226,2010
Luke Gregerson,SD,4,7,3.22,80,0,0,0,2,7,78.1,47,30,28,8,1,18,89,0.83,.170,2010
Sean Marshall,CHC,7,5,2.65,80,0,0,0,1,3,74.2,58,25,22,3,2,25,90,1.11,.210,2010
Brandon Lyon,HOU,6,6,3.12,79,0,0,0,20,22,78.0,68,28,27,2,3,31,54,1.27,.231,2010
Jonny Venters,ATL,4,4,1.95,79,0,0,0,1,5,83.0,61,30,18,1,8,39,93,1.20,.204,2010
Tyler Clippard,WSH,11,8,3.07,78,0,0,0,1,11,91.0,69,33,31,8,2,41,112,1.21,.212,2010
Javier Lopez,SF,4,2,2.34,77,0,0,0,0,0,57.2,50,17,15,2,2,20,38,1.21,.238,2010
Carlos Marmol,CHC,2,3,2.55,77,0,0,0,38,43,77.2,40,23,22,1,8,52,138,1.18,.147,2010
Matt Belisle,COL,7,5,2.93,76,0,0,0,1,2,92.0,84,34,30,7,2,16,91,1.09,.246,2010
Craig Breslow,OAK,4,4,3.01,75,0,0,0,5,7,74.2,53,26,25,9,0,29,71,1.10,.194,2010
Francisco Cordero,CIN,6,5,3.84,75,0,0,0,40,48,72.2,68,32,31,5,2,36,59,1.43,.246,2010
Matt Capps,MIN,5,3,2.47,74,0,0,0,42,48,73.0,75,27,20,6,0,17,59,1.26,.265,2010
Phil Coke,DET,7,5,3.76,74,1,0,0,2,4,64.2,67,29,27,2,4,26,53,1.44,.275,2010
Matt Guerrier,MIN,5,7,3.17,74,0,0,0,1,7,71.0,56,28,25,7,3,22,42,1.10,.219,2010
Daniel Bard,BOS,1,2,1.93,73,0,0,0,3,10,74.2,45,18,16,6,2,30,76,1.00,.176,2010
Sean Burnett,WSH,1,7,2.14,73,0,0,0,3,4,63.0,52,17,15,3,1,20,62,1.14,.220,2010
Joba Chamberlain,NYY,3,4,4.40,73,0,0,0,3,7,71.2,71,37,35,6,1,22,77,1.30,.253,2010
Rafael Betancourt,COL,5,1,3.61,72,0,0,0,1,5,62.1,52,25,25,9,0,8,89,0.96,.220,2010
Joel Hanrahan,PIT,4,1,3.62,72,0,0,0,6,10,69.2,58,28,28,6,4,26,100,1.21,.221,2010
Darren O'Day,TEX,6,2,2.03,72,0,0,0,0,2,62.0,43,15,14,5,5,12,45,0.89,.196,2010
Fernando Rodney,LAA,4,3,4.24,72,0,0,0,14,21,68.0,70,33,32,4,5,35,53,1.54,.263,2010
Joe Beimel,COL,1,2,3.40,71,0,0,0,0,1,45.0,46,18,17,5,0,15,21,1.36,.269,2010
Jonny Venters,ATL,6,2,1.84,85,0,0,0,5,9,88.0,53,19,18,2,5,43,96,1.09,.176,2011
Bill Bray,CIN,5,3,2.98,79,0,0,0,0,3,48.1,35,16,16,3,2,17,44,1.08,.202,2011
Craig Kimbrel,ATL,4,3,2.10,79,0,0,0,46,54,77.0,48,19,18,3,1,32,127,1.04,.178,2011
Jose Veras,PIT,2,4,3.80,79,0,0,0,1,8,71.0,54,32,30,6,4,34,79,1.24,.206,2011
Sean Marshall,CHC,6,6,2.26,78,0,0,0,5,9,75.2,66,21,19,1,2,17,79,1.10,.234,2011
Jason Motte,STL,5,2,2.25,78,0,0,0,9,13,68.0,49,22,17,2,5,16,63,0.96,.202,2011
Eric O'Flaherty,ATL,2,4,0.98,78,0,0,0,0,4,73.2,59,9,8,2,3,21,67,1.09,.221,2011
Chad Qualls,SD,6,8,3.51,77,0,0,0,0,5,74.1,73,30,29,7,0,20,43,1.25,.263,2011
Chris Resop,PIT,5,4,4.39,76,0,0,0,1,6,69.2,73,34,34,8,3,30,79,1.48,.269,2011
Mike Adams,TEX,5,4,1.47,75,0,0,0,2,5,73.2,44,13,12,5,0,14,74,0.79,.169,2011
Carlos Marmol,CHC,2,6,4.01,75,0,0,0,34,44,74.0,54,33,33,5,9,48,99,1.38,.205,2011
Nick Masset,CIN,3,6,3.71,75,0,0,0,1,7,70.1,76,30,29,5,1,31,62,1.52,.273,2011
Jeff Samardzija,CHC,8,4,2.97,75,0,0,0,0,2,88.0,64,35,29,5,5,50,87,1.30,.200,2011
